,번호,캠퍼스,제목,글쓴이,날짜,조회수,링크
3730,6665,공통,[현장연수] ((주)글로벌엘에스) 2017-하계 방학 ...,미래인재센터(서울),2017-07-24,378,https://www.khu.ac.kr/kor/notice/detail.do?seq=109368&page=374&category=GENERAL
3731,6664,공통,[국제교육원]2017 일본 유학생 대상 1주 한국어 연...,국제교육원,2017-07-24,219,https://www.khu.ac.kr/kor/notice/detail.do?seq=109367&page=374&category=GENERAL
3732,6663,국제,방학 중 체성분 검사 안내-건강센터,건강센터(국제),2017-07-24,138,https://www.khu.ac.kr/kor/notice/detail.do?seq=109366&page=374&category=GENERAL
3733,6662,서울,[조교모집]2017-2 대학원 경영학과 조교(2명) 모...,경영대학,2017-07-24,231,https://www.khu.ac.kr/kor/notice/detail.do?seq=109365&page=374&category=GENERAL
3734,6661,국제,[국제] 정보처 학사조교 모집 (~8/3),정보처,2017-07-24,93,https://www.khu.ac.kr/kor/notice/detail.do?seq=109364&page=374&category=GENERAL
3735,6660,서울,[현장연수] (주) 에이티세미콘 2017 하계 현장연수...,미래인재센터(서울),2017-07-24,214,https://www.khu.ac.kr/kor/notice/detail.do?seq=109359&page=374&category=GENERAL
3736,6659,서울,[연구조교모집] 생활과학대학 주거환경학과 연구조교 모집...,생활과학대학,2017-07-24,117,https://www.khu.ac.kr/kor/notice/detail.do?seq=109358&page=374&category=GENERAL
3737,6658,국제,[채용] 피부생명공학센터 임상연구원 채용 공고,피부생명공학센터,2017-07-21,250,https://www.khu.ac.kr/kor/notice/detail.do?seq=109355&page=374&category=GENERAL
3738,6657,서울,[후마니타스] 연구조교 모집,후마니타스칼리지(서울),2017-07-21,278,https://www.khu.ac.kr/kor/notice/detail.do?seq=109354&page=374&category=GENERAL
3739,6656,공통,[추천채용] 신성통상 TD직무 신입사원(인턴) 추천채용,미래인재센터(서울),2017-07-21,247,https://www.khu.ac.kr/kor/notice/detail.do?seq=109353&page=374&category=GENERAL
3740,6655,서울,[의과대학] 의과대학 행정실 연구조교A 모집 공고,의과대학,2017-07-21,140,https://www.khu.ac.kr/kor/notice/detail.do?seq=109352&page=375&category=GENERAL
3741,6654,서울,의과대학 병리학교실에서 함께 일할 참신하고 성실한 조교...,의과대학,2017-07-21,261,https://www.khu.ac.kr/kor/notice/detail.do?seq=109351&page=375&category=GENERAL
3742,6653,공통,경희기록관 기록관리 보조인력 모집,경희기록관,2017-07-21,590,https://www.khu.ac.kr/kor/notice/detail.do?seq=109350&page=375&category=GENERAL
3743,6652,서울,[취업진로지원처(서울)]계약직 직원 채용 공고,미래인재센터(서울),2017-07-21,264,https://www.khu.ac.kr/kor/notice/detail.do?seq=109348&page=375&category=GENERAL
3744,6651,국제,[국제 학사지원과] 국가교육근로 장학생 모집공고(마감),교무처 학사지원과(국제),2017-07-21,507,https://www.khu.ac.kr/kor/notice/detail.do?seq=109347&page=375&category=GENERAL
3745,6650,서울,[생활과학대학]의상학과 조교 채용 공고,생활과학대학,2017-07-20,207,https://www.khu.ac.kr/kor/notice/detail.do?seq=109346&page=375&category=GENERAL
3746,6649,공통,[국제교육원]17 일본 유학생 대상 1주 한국어 연수 ...,국제교육원,2017-07-20,281,https://www.khu.ac.kr/kor/notice/detail.do?seq=109344&page=375&category=GENERAL
3747,6648,서울,경희기록관 연구조교A 모집,경희기록관,2017-07-20,266,https://www.khu.ac.kr/kor/notice/detail.do?seq=109342&page=375&category=GENERAL
3748,6647,국제,국제 [국제]예술디자인대학 행정실 전산조교 모집 공고,예술디자인대학,2017-07-20,174,https://www.khu.ac.kr/kor/notice/detail.do?seq=109335&page=375&category=GENERAL
3749,6646,서울,[학생생활연구소]하계방학 특별프로그램 안내(학습유형검사...,심리상담연구소(서울),2017-07-20,423,https://www.khu.ac.kr/kor/notice/detail.do?seq=109334&page=375&category=GENERAL
3750,6645,공통,[국제교육원]17 일본 국적 유학생 금호아시아나 말하기...,국제교육원,2017-07-19,422,https://www.khu.ac.kr/kor/notice/detail.do?seq=109331&page=376&category=GENERAL
3751,6644,공통,2017-2 관악구 토요 글세상 나들이 학생기획단 모집...,글로벌봉사팀,2017-07-19,339,https://www.khu.ac.kr/kor/notice/detail.do?seq=109330&page=376&category=GENERAL
3752,6643,서울,[서울] 정보처 학사조교 A 모집,정보처,2017-07-19,196,https://www.khu.ac.kr/kor/notice/detail.do?seq=109329&page=376&category=GENERAL
3753,6642,공통,[추천채용] 비즈플레이 인턴 추천채용,미래인재센터(서울),2017-07-19,322,https://www.khu.ac.kr/kor/notice/detail.do?seq=109327&page=376&category=GENERAL
3754,6641,공통,[추천채용] 휠라코리아 언더웨어 MD 신입 추천채용,미래인재센터(서울),2017-07-19,287,https://www.khu.ac.kr/kor/notice/detail.do?seq=109324&page=376&category=GENERAL
3755,6640,서울,[행복기숙사]행정/사감조교 모집,행복기숙사(서울),2017-07-19,293,https://www.khu.ac.kr/kor/notice/detail.do?seq=109321&page=376&category=GENERAL
