,번호,제목,글쓴이,날짜,조회수,링크
724,412,2014학년도 2학기 농촌출신 대학생 학자금지원사업 추가 신청 안내,행정실,2014-07-17,8542,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=6247&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=49
725,411,2014학년도2학기 태성장학회 장학생 추천,행정실,2014-07-14,1498,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=6239&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=49
726,410,2014학년도 2학기 5.18기념재단 장학생 선발 안내(~7/15),행정실,2014-07-10,1188,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=6236&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=49
727,409,2014학년도 2학기 대정장학재단 장학생 선발 안내(7/21~7/31),행정실,2014-07-10,1228,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=6235&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=49
728,408,2014-2학기 서울장학재단 H-JUMP SCHOOL 제2기 장학생 선발 안내(~7.16),행정실,2014-07-07,1450,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=6232&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=49
729,407,경영학과 LAU Ka Wing교수 연구조교(R.A) 모집,행정실,2014-07-07,1270,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=6231&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=49
730,406,제주특별자치도 학자금 대출이자 지원사업 안내(~7.31),행정실,2014-07-03,3183,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=6228&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=49
731,405,2014년도 정읍시민장학재단 장학생 선발 안내(~7.25),행정실,2014-07-02,1092,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=6224&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=49
732,404,2014년도 2학기 농어촌희망누리 대학장학생 선발,행정실,2014-06-27,1390,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=6218&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=49
733,403,2014학년도 2학기 종근당고촌학사 입사생 모집(~7.18(금)),행정실,2014-06-25,2247,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=6217&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=49
734,402,2014년도 포항시장학회 재경포항학사 입사생 선발 안내(~6.27),행정실,2014-06-23,4888,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=6211&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=49
735,401,2014년도 충청남도 도비유학장학생 선발 안내(9.1~9.30),행정실,2014-06-23,3319,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=6207&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=50
