,번호,캠퍼스,제목,글쓴이,날짜,조회수,링크
36,335,서울,심리상담연구소] 대인관계 이해 집단상담 프로그램 안내,심리상담연구소(서울),2018-10-05,805,https://www.khu.ac.kr/kor/notice/detail.do?seq=2104960&page=4&category=EVENT
37,334,서울,[심리상담연구소] 자아성장 집단상담 프로그램 안내,심리상담연구소(서울),2018-10-05,703,https://www.khu.ac.kr/kor/notice/detail.do?seq=2104940&page=4&category=EVENT
38,333,공통,제1회 일반대학원 입학 FAIR 개최 & 2019년 전...,일반대학원(국제),2018-10-01,1116,https://www.khu.ac.kr/kor/notice/detail.do?seq=2104815&page=4&category=EVENT
39,332,공통,[후마] 평화토론대회 행사 안내,후마니타스칼리지(서울),2018-09-19,793,https://www.khu.ac.kr/kor/notice/detail.do?seq=2102412&page=4&category=EVENT
40,331,서울,[중앙박물관]박물관과 함께 떠나는 우리문화 산책_부채 ...,중앙박물관,2018-09-19,731,https://www.khu.ac.kr/kor/notice/detail.do?seq=2102406&page=5&category=EVENT
41,330,서울,[후마] 글쓰기의 날 백일장 행사 안내 (세계평화주간 ...,후마니타스칼리지(서울),2018-09-15,1021,https://www.khu.ac.kr/kor/notice/detail.do?seq=112609&page=5&category=EVENT
42,329,서울,[후마] 평화 극장 행사 안내(세계평화주간 행사),후마니타스칼리지(서울),2018-09-15,723,https://www.khu.ac.kr/kor/notice/detail.do?seq=112608&page=5&category=EVENT
43,328,서울,[후마] 경희 평화 로드 탐방 행사 안내(세계평화주간 ...,후마니타스칼리지(서울),2018-09-15,640,https://www.khu.ac.kr/kor/notice/detail.do?seq=112607&page=5&category=EVENT
44,327,공통,[LINC+] 경희대학교-한국무라타전자 공동 창업경진대...,LINC+ 사업단,2018-09-12,812,https://www.khu.ac.kr/kor/notice/detail.do?seq=112580&page=5&category=EVENT
45,326,서울,2018 후마니타스칼리지 세계평화주간 행사 안내,후마니타스칼리지(서울),2018-09-11,585,https://www.khu.ac.kr/kor/notice/detail.do?seq=112578&page=5&category=EVENT
46,325,서울,[세계평화주간] 재학생 평화 토론 대회 본선 개최 안내,후마니타스칼리지(서울),2018-09-10,484,https://www.khu.ac.kr/kor/notice/detail.do?seq=112573&page=5&category=EVENT
47,324,서울,[중앙박물관]제144회 정기문화답사 안내 - 지붕 없는...,중앙박물관,2018-09-10,499,https://www.khu.ac.kr/kor/notice/detail.do?seq=112562&page=5&category=EVENT
48,323,서울,[외교부] 국립외교원 행사 안내,학생지원센터 학생지원팀(서울),2018-09-05,699,https://www.khu.ac.kr/kor/notice/detail.do?seq=112517&page=5&category=EVENT
49,322,공통,"수원시 도시재생 아이디어 경진대회(수원시,경희대,성균관...",LINC+ 사업단,2018-09-03,869,https://www.khu.ac.kr/kor/notice/detail.do?seq=112465&page=5&category=EVENT
50,321,서울,[마감] 문화미래리포트 2018 참가 안내,커뮤니케이션센터,2018-08-14,739,https://www.khu.ac.kr/kor/notice/detail.do?seq=112291&page=6&category=EVENT
51,320,서울,[중앙박물관]제143회 정기문화답사 안내- (고려 건국...,중앙박물관,2018-07-06,578,https://www.khu.ac.kr/kor/notice/detail.do?seq=111969&page=6&category=EVENT
52,319,공통,교내 문화행사(폴킴 미니콘서트) 안내,미래문명원,2018-07-06,1036,https://www.khu.ac.kr/kor/notice/detail.do?seq=111965&page=6&category=EVENT
53,318,서울,[후마니타스칼리지] 세계평화의 날 기념 학생 평화 토론...,후마니타스칼리지(서울),2018-06-28,663,https://www.khu.ac.kr/kor/notice/detail.do?seq=111888&page=6&category=EVENT
54,317,공통,<성적 없는 성적표> 저자와의 대화,관리자,2018-06-27,601,https://www.khu.ac.kr/kor/notice/detail.do?seq=111876&page=6&category=EVENT
55,316,공통,[LINC+] 2018년도 학생지원 프로그램 설명회 개...,LINC+ 사업단,2018-06-25,688,https://www.khu.ac.kr/kor/notice/detail.do?seq=111837&page=6&category=EVENT
56,315,공통,[LINC+] 방송인 타일러와 함께하는 방학중 취창업 ...,LINC+ 사업단,2018-06-22,725,https://www.khu.ac.kr/kor/notice/detail.do?seq=111823&page=6&category=EVENT
57,314,서울,이리나 보코바(Irina Bokova) 미원 석좌교수 ...,후마니타스칼리지(서울),2018-06-05,698,https://www.khu.ac.kr/kor/notice/detail.do?seq=111679&page=6&category=EVENT
58,313,서울,2018년도 하계(제49차) 대학생을 위한 외교부 워크...,학생지원센터 학생지원팀(서울),2018-06-04,784,https://www.khu.ac.kr/kor/notice/detail.do?seq=111676&page=6&category=EVENT
59,312,서울,[중앙박물관]제142회 정기문화답사 안내 (고려 건국 ...,중앙박물관,2018-06-04,405,https://www.khu.ac.kr/kor/notice/detail.do?seq=111667&page=6&category=EVENT
60,311,공통,[정보처]차세대 정보시스템 네이밍 공모전 당첨자 발표,정보처,2018-06-01,689,https://www.khu.ac.kr/kor/notice/detail.do?seq=111655&page=7&category=EVENT
61,310,공통,LINC+사업단 페이스북 오픈 이벤트(경품:스타벅스 커...,LINC+ 사업단,2018-05-31,556,https://www.khu.ac.kr/kor/notice/detail.do?seq=111630&page=7&category=EVENT
62,309,서울,2017학년도 경희 Fellow 교육부문 수상 기념 강...,교수학습지원센터(서울),2018-05-23,386,https://www.khu.ac.kr/kor/notice/detail.do?seq=111582&page=7&category=EVENT
63,308,공통,세계평화의 날 기념 평화 토론대회 개최 안내,후마니타스칼리지(서울),2018-05-23,461,https://www.khu.ac.kr/kor/notice/detail.do?seq=111581&page=7&category=EVENT
64,307,국제,[정보처] Info21 차세대 정보시스템 네이밍 이벤트...,정보처,2018-05-16,593,https://www.khu.ac.kr/kor/notice/detail.do?seq=111547&page=7&category=EVENT
65,306,서울,[중앙박물관]제141회 정기문화답사 안내- (고려 건국...,중앙박물관,2018-05-08,438,https://www.khu.ac.kr/kor/notice/detail.do?seq=111472&page=7&category=EVENT
66,305,공통,2018 'KHUCC(쿠씨씨)' 공모 안내,커뮤니케이션센터,2018-05-04,708,https://www.khu.ac.kr/kor/notice/detail.do?seq=111470&page=7&category=EVENT
67,304,서울,‘신조선통신사’ 프로그램 모집 안내,학생지원센터 학생지원팀(서울),2018-05-04,519,https://www.khu.ac.kr/kor/notice/detail.do?seq=111469&page=7&category=EVENT
68,303,서울,청운관에서 하는 심폐소생술 교육 안내(건강센터),건강센터(서울),2018-04-30,440,https://www.khu.ac.kr/kor/notice/detail.do?seq=111443&page=7&category=EVENT
