,번호,제목,글쓴이,날짜,조회수,링크
31,1532,"[공통]한국장학재단 학자금대출 성적, 이수학점 거절자 특별승인…",관리자,2019.08.21,495,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1758&page=3
32,1531,[서울]2019-2학기 학사원장 및 수납원장 업로드 일정 안내(재학…,관리자,2019.08.20,241,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1757&page=3
33,1530,[공통][대외][~8.25]2019학년도 경희대학교 총동문회 봉사 장학…,관리자,2019.08.20,1169,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1756&page=3
34,1529,★★★(날짜변경~9/27 18시까지)[서울][교내] 2019-2학기 복학생…,관리자,2019.08.20,1020,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1755&page=3
35,1528,★[서울][국가근로] 19-2학기 학기중 국가근로장학 1차 통과자 …,관리자,2019.08.16,1296,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1748&page=3
36,1527,[서울][대외][~9.13]2019-2학기 (재)인중.제고장학회 제6회 등불…,관리자,2019.08.16,575,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1747&page=3
37,1526,[공통][기간연장]2019-2학기 국가장학금 2차신청기간 안내,관리자,2019.08.12,2010,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1746&page=3
38,1525,[서울][입학금지원장학] 2019-1학기 국가장학2유형(입학금지원장…,관리자,2019.08.09,1489,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1745&page=3
39,1524,[공통][국가근로]2019학년도 2학기 국가근로장학사업 2차 학생신…,관리자,2019.08.08,2317,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1744&page=3
40,1523,★★[서울][교내]2018-2학기 경희꿈도전장학 결과발표회(1차) 안…,관리자,2019.08.06,819,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1743&page=3
41,1522,[서울][국가장학]2019-2학기 정부 학자금 대출 신청 안내,관리자,2019.08.05,635,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1742&page=3
42,1521,[서울][대외][~8.7]2019학년도 2학기 숭덕육영회 장학생 선발 안…,관리자,2019.07.29,1079,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1741&page=3
43,1520,[공통] 2019학년도 집중휴무제(Eco-Friendly Campus Week) 시행 …,관리자,2019.07.27,582,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1740&page=3
44,1519,[서울][~8.6] 2019-2학기 양진장학재단 장학생 추천자 선발 안내,관리자,2019.07.26,963,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1738&page=3
45,1518,[서울](내용 수정)2019-2학기 학자금대출 [특별승인 제도] 승인 …,관리자,2019.07.26,542,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1737&page=4
46,1517,[국제]2019-1학기 마일리지장학 및 장학사정관제장학 지급일정 …,관리자,2019.07.26,1454,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1736&page=4
47,1516,[서울][국가장학] 19-1학기 국가장학금2유형(입학금지원장학) 지…,관리자,2019.07.26,937,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1735&page=4
48,1515,[국제][대외][~7.19]2019년 2학기「청년창업농육성장학생」추가 …,관리자,2019.07.12,876,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1734&page=4
49,1514,★★[서울][교내]2018-2학기 경희꿈도전장학 결과발표회관련 안…,관리자,2019.07.10,1213,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1733&page=4
