,번호,제목,글쓴이,날짜,조회수,링크
31,34,2018년 공인회계사 1차 대비  전국모의고사 신청 안내,행정실,2017-12-27,1538,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10486&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=3
32,33,2018 회계캠프 참여인원 공지,행정실,2017-12-26,1750,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10484&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=3
33,32,[청현재] 2018년 동계 회계캠프 일정 및 참여방법 공지,행정실,2017-11-28,2222,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10431&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=3
34,31,청현재 10월~12월 평가시험 일정 및 추가실원(12월) 모집 안내,행정실,2017-10-07,4488,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10345&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=3
35,30,2017년 9/10월 평가시험 일정 및 외부학생 신청 안내,행정실,2017-09-17,1297,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10344&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=3
36,29,청현재 2017년 9월 2/3차생 추가실원 모집안내,행정실,2017-08-09,1641,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10343&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=3
37,28,2017년 Big4 회계법인 채용설명회(안진회계법인 추가),행정실,2017-07-10,1006,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10342&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=3
38,27,2017년 하계 청현재 신입실원 발표,행정실,2017-06-27,3087,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10341&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=3
39,26,2017년 4대 회계법인 채용설명회 일정,행정실,2017-06-13,1126,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10340&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=3
40,25,2017년 공인회계사 제2차시험 도시락 지원안내,행정실,2017-06-04,802,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10339&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=3
41,24,2017년 2차시험 대비 (전국)모의고사 응시안내,행정실,2017-05-22,802,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10338&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=3
