,번호,캠퍼스,제목,글쓴이,날짜,조회수,링크
570,266,국제,2016학년도 1학기 을지대학교 학점교류 안내,교무처 학사지원과(국제),2016-02-04,199,https://www.khu.ac.kr/kor/notice/detail.do?seq=105313&page=58&category=CREDIT
571,265,국제,2016학년도 1학기 수원대학교 학점교류 안내,교무처 학사지원과(국제),2016-02-04,231,https://www.khu.ac.kr/kor/notice/detail.do?seq=105312&page=58&category=CREDIT
572,264,국제,2016학년도 1학기 경기대학교 학점교류 안내,교무처 학사지원과(국제),2016-02-04,224,https://www.khu.ac.kr/kor/notice/detail.do?seq=105311&page=58&category=CREDIT
573,263,서울,2016학년도 1학기 경희대학교로의 학점교류생 학번부여...,교무처 학사지원과(서울),2016-02-03,2428,https://www.khu.ac.kr/kor/notice/detail.do?seq=105301&page=58&category=CREDIT
574,262,국제,2016학년도 1학기 경희대학교로의 학점교류생 학번부여...,교무처 학사지원과(국제),2016-02-03,1523,https://www.khu.ac.kr/kor/notice/detail.do?seq=105298&page=58&category=CREDIT
575,261,국제,2016학년도 1학기 한세대학교 학점교류 안내,교무처 학사지원과(국제),2016-02-02,191,https://www.khu.ac.kr/kor/notice/detail.do?seq=105294&page=58&category=CREDIT
576,260,국제,2016학년도 1학기 한국항공대학교 학점교류 안내,교무처 학사지원과(국제),2016-02-02,217,https://www.khu.ac.kr/kor/notice/detail.do?seq=105293&page=58&category=CREDIT
577,259,국제,2016학년도 1학기 가톨릭대학교 학점교류 안내,교무처 학사지원과(국제),2016-02-02,192,https://www.khu.ac.kr/kor/notice/detail.do?seq=105292&page=58&category=CREDIT
578,258,국제,2016학년도 1학기 단국대학교(죽전) 학점교류 안내,교무처 학사지원과(국제),2016-02-02,222,https://www.khu.ac.kr/kor/notice/detail.do?seq=105291&page=58&category=CREDIT
579,257,국제,2016학년도 1학기 한신대학교 학점교류 안내,교무처 학사지원과(국제),2016-01-27,193,https://www.khu.ac.kr/kor/notice/detail.do?seq=105238&page=58&category=CREDIT
580,256,국제,2016학년도 1학기 한양대학교(ERICA) 학점교류 ...,교무처 학사지원과(국제),2016-01-21,269,https://www.khu.ac.kr/kor/notice/detail.do?seq=105195&page=59&category=CREDIT
581,255,국제,2016학년도 1학기 인천대학교(송도) 학점교류 안내,교무처 학사지원과(국제),2016-01-21,215,https://www.khu.ac.kr/kor/notice/detail.do?seq=105194&page=59&category=CREDIT
582,254,국제,2016학년도 1학기 가천대학교 학점교류 안내,교무처 학사지원과(국제),2016-01-21,265,https://www.khu.ac.kr/kor/notice/detail.do?seq=105193&page=59&category=CREDIT
583,253,국제,2016학년도 1학기 고려대학교 학점교류 안내,교무처 학사지원과(국제),2016-01-21,506,https://www.khu.ac.kr/kor/notice/detail.do?seq=105191&page=59&category=CREDIT
584,252,국제,2016학년도 1학기 국민대학교 학점교류 안내,교무처 학사지원과(국제),2016-01-21,273,https://www.khu.ac.kr/kor/notice/detail.do?seq=105190&page=59&category=CREDIT
585,251,서울,2016학년도 1학기 고려대학교 학점교류 안내,교무처 학사지원과(서울),2016-01-21,623,https://www.khu.ac.kr/kor/notice/detail.do?seq=105185&page=59&category=CREDIT
586,250,서울,2016학년도 1학기 국민대학교 학점교류 안내,교무처 학사지원과(서울),2016-01-21,301,https://www.khu.ac.kr/kor/notice/detail.do?seq=105184&page=59&category=CREDIT
587,249,국제,2016학년도 1학기 서울시립대학교 학점교류 안내,교무처 학사지원과(국제),2016-01-15,328,https://www.khu.ac.kr/kor/notice/detail.do?seq=105142&page=59&category=CREDIT
588,248,국제,2016학년도 1학기 상명대학교 학점교류 안내,교무처 학사지원과(국제),2016-01-13,263,https://www.khu.ac.kr/kor/notice/detail.do?seq=105132&page=59&category=CREDIT
589,247,서울,2016학년도 1학기 상명대학교 학점교류 안내,교무처 학사지원과(서울),2016-01-12,262,https://www.khu.ac.kr/kor/notice/detail.do?seq=105129&page=59&category=CREDIT
590,246,국제,2016학년도 1학기 숙명여자대학교 학점교류 안내,교무처 학사지원과(국제),2016-01-12,276,https://www.khu.ac.kr/kor/notice/detail.do?seq=105115&page=60&category=CREDIT
591,245,서울,2016학년도 1학기 숙명여자대학교 학점교류 안내,교무처 학사지원과(서울),2016-01-12,405,https://www.khu.ac.kr/kor/notice/detail.do?seq=105114&page=60&category=CREDIT
592,244,서울,2016학년도 1학기 한국교원대학교 학점교류 안내,교무처 학사지원과(서울),2016-01-12,200,https://www.khu.ac.kr/kor/notice/detail.do?seq=105112&page=60&category=CREDIT
593,243,서울,2016학년도 1학기 서울시립대학교 학점교류 안내,교무처 학사지원과(서울),2016-01-11,433,https://www.khu.ac.kr/kor/notice/detail.do?seq=105098&page=60&category=CREDIT
594,242,국제,2016학년도 1학기 건국대학교 학점교류 안내,교무처 학사지원과(국제),2016-01-08,326,https://www.khu.ac.kr/kor/notice/detail.do?seq=105091&page=60&category=CREDIT
595,241,국제,2016학년도 1학기 제주대학교 학점교류 안내,교무처 학사지원과(국제),2016-01-08,321,https://www.khu.ac.kr/kor/notice/detail.do?seq=105090&page=60&category=CREDIT
596,240,국제,2016학년도 1학기 동국대학교 학점교류 안내,교무처 학사지원과(국제),2016-01-08,241,https://www.khu.ac.kr/kor/notice/detail.do?seq=105089&page=60&category=CREDIT
597,239,국제,2016학년도 1학기 서울대학교 학점교류 안내,교무처 학사지원과(국제),2016-01-08,394,https://www.khu.ac.kr/kor/notice/detail.do?seq=105088&page=60&category=CREDIT
598,238,서울,2016학년도 1학기 건국대학교 학점교류 안내,교무처 학사지원과(서울),2016-01-07,424,https://www.khu.ac.kr/kor/notice/detail.do?seq=105083&page=60&category=CREDIT
599,237,서울,2016학년도 1학기 동국대학교 학점교류 안내,교무처 학사지원과(서울),2016-01-07,314,https://www.khu.ac.kr/kor/notice/detail.do?seq=105082&page=60&category=CREDIT
600,236,서울,2016학년도 1학기 서울대학교 학점교류 안내,교무처 학사지원과(서울),2016-01-07,512,https://www.khu.ac.kr/kor/notice/detail.do?seq=105081&page=61&category=CREDIT
601,235,서울,2016학년도 1학기 제주대학교 학점교류 안내,교무처 학사지원과(서울),2016-01-07,498,https://www.khu.ac.kr/kor/notice/detail.do?seq=105080&page=61&category=CREDIT
602,234,서울,2016학년도 1학기 서울과학기술대학교 학점교류 안내,교무처 학사지원과(서울),2016-01-07,255,https://www.khu.ac.kr/kor/notice/detail.do?seq=105079&page=61&category=CREDIT
603,233,국제,2015학년도 동계계절학기 을지대학교 학점교류 안내,교무처 학사지원과(국제),2015-12-29,190,https://www.khu.ac.kr/kor/notice/detail.do?seq=105028&page=61&category=CREDIT
604,232,서울,2015학년도 동계계절학기 타대학소속 학점교류생 학번 ...,후마니타스칼리지(서울),2015-12-07,1684,https://www.khu.ac.kr/kor/notice/detail.do?seq=104847&page=61&category=CREDIT
605,231,서울,2015학년도 고려대학교 동계 계절학기 학점교류 안내,후마니타스칼리지(서울),2015-11-17,869,https://www.khu.ac.kr/kor/notice/detail.do?seq=104731&page=61&category=CREDIT
606,230,국제,2015학년도 동계계절학기 인천대학교(송도) 학점교류 ...,교무처 학사지원과(국제),2015-11-16,303,https://www.khu.ac.kr/kor/notice/detail.do?seq=104719&page=61&category=CREDIT
607,229,국제,2015학년도 동계계절학기 대진대학교 학점교류 안내,교무처 학사지원과(국제),2015-11-16,236,https://www.khu.ac.kr/kor/notice/detail.do?seq=104718&page=61&category=CREDIT
608,228,국제,2015학년도 동계계절학기 고려대학교 학점교류 안내,교무처 학사지원과(국제),2015-11-16,447,https://www.khu.ac.kr/kor/notice/detail.do?seq=104717&page=61&category=CREDIT
609,227,국제,2015학년도 동계계절학기 서울시립대학교 학점교류 안내,교무처 학사지원과(국제),2015-11-16,282,https://www.khu.ac.kr/kor/notice/detail.do?seq=104716&page=61&category=CREDIT
610,226,국제,2015학년도 동계계절학기 한세대학교 학점교류 안내,교무처 학사지원과(국제),2015-11-13,188,https://www.khu.ac.kr/kor/notice/detail.do?seq=104706&page=62&category=CREDIT
611,225,국제,2015학년도 동계계절학기 경기대학교 학점교류 안내,교무처 학사지원과(국제),2015-11-13,236,https://www.khu.ac.kr/kor/notice/detail.do?seq=104705&page=62&category=CREDIT
612,224,국제,2015학년도 동계계절학기 강남대학교 학점교류 안내,교무처 학사지원과(국제),2015-11-12,266,https://www.khu.ac.kr/kor/notice/detail.do?seq=104700&page=62&category=CREDIT
613,223,국제,2015학년도 동계계절학기 가톨릭대학교 학점교류 안내,교무처 학사지원과(국제),2015-11-12,221,https://www.khu.ac.kr/kor/notice/detail.do?seq=104699&page=62&category=CREDIT
614,222,국제,2015학년도 동계계절학기 평택대학교 학점교류 안내,교무처 학사지원과(국제),2015-11-06,249,https://www.khu.ac.kr/kor/notice/detail.do?seq=104665&page=62&category=CREDIT
615,221,국제,2015학년도 동계계절학기 한양대학교(ERICA) 학점...,교무처 학사지원과(국제),2015-11-04,338,https://www.khu.ac.kr/kor/notice/detail.do?seq=104648&page=62&category=CREDIT
