,번호,제목,글쓴이,날짜,조회수,링크
23,160,2018학년도 동계 정규 과정 한국어 도우미 모집,행정실,2018-11-27,271,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11482&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=2
24,159,2017학년도 동계 경영대학 전공연수 후기 공유,행정실,2018-11-27,365,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11481&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=2
25,158,2018학년도 동계 경영대학 전공연수(일본) 모집 연장 공지,행정실,2018-11-07,554,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11429&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=2
26,157,2018학년도 2학기 경영대학 멘토 모집 연장 공지,행정실,2018-11-07,284,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11428&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=2
27,156,2018학년도 동계 경영대학 전공연수 참가자 모집 공고,행정실,2018-10-26,937,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11372&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=2
28,155,2018학년도 2학기 경영대학 멘토 모집 공지,행정실,2018-10-18,491,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11338&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=2
29,154,2018학년도 2학기 경영대학 B.I.O. 단원 모집 안내,행정실,2018-10-16,533,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11330&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=2
30,153,2018 Fall Semester International Student Conference,행정실,2018-09-19,332,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11248&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=3
31,152,2018학년도 2학기 경영대학 외국인유학생 TOPIK 시험 지원 안내,행정실,2018-09-19,535,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11247&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=3
32,151,2019학년도 1학기 경영대학 자체파견 교환학생 모집 공고,행정실,2018-08-13,1832,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11078&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=3
